FOLKCODE,DominantSe,num.shape
gS,0 to 3 m sands and gravels in discontinuous blanket; base poorly imaged on seismic; numerous deeply cut and infilled channels with glacigenic infill,1
,commonly patchy till erosional remnants or glacimarine mud with surficial unconformity; generally sand and gravel covered,16
M,"commonly till with glacial and/or post-glacial mud cover, especially in basins; Surface can be sandier in Whale Deep area.",1
M,commonly till with thick glacial and/or post-glacial mud cover,7
,"commonly till, generally mud-covered but with sandy and/or gravelly surface",2
mS,"commonly till, generally sand or mud-covered",13
mS,"commonly till, generally sand or mud-covered; exception seaward of Whale Deep and central Grand Bank where till-derived sand and gravel dominate",1
mS,"commonly till, generally sand or thin mud veneer",1
gS,"commonly till, locally glacimarine mud with surficial unconformity; generally sand and gravel covered where modified by post-glacial transgression",1
gS,"Downing Moraine Complex; tidewater moraine; mix of till, prograding outwash, meltwater fed; surficial sand, some gravel",6
gS,generally sand and gravel covered bedrock,1
M,generally thin till with glacmarine and limite post-glacial marine mud cover,1
M,generally thin till with glacmarine and locally post-glacial marine mud cover,5
M,generally thin till with glacmarine and post-glacial marine mud cover,192
M,generally thin till with glacmarine and/or post-glacial marine mud cover,58
M,generally thin till with glacmarine mud cover,5
,generally thin till with limited glacmarine and post-glacial marine mud cover,1
M,generally thin till with overlying glacimarine mud and locally post-glacial (soft) mud (southern half); can have sandy or gravelly veneer,1
M,generally thin till with thick glacmarine and post-glacial marine mud cover,8
M,generally thin till with thick glacmarine and/or post-glacial marine mud cover,11
,generally thin till; possible limited mud cover,2
M,generally till with glacmarine and post-glacial marine mud cover,2
M,generally till with thick glacial and post-glacial mud cover; in glacially excavated basins and valleys whose distribution is poorly constrained,42
sG,glacigenic (outwash?) modified during paleo-sea-level transgression; gravel lag overlain by sand & fine gravel in sand ridges and smaller bedforms,11
,glacigenic but generally stratified sediments; generally disected by mass failures,1
G,glacigenic sediments but modified by coastal processes during paleo-sea-level transgression; gravel lag overlain by sand & fine gravel in bedforms,2
M,glacimarine mud,1
gM,glacimarine mud with modified surface (gravelly),1
gM,glacimarine mud with modified surface (gravelly); possibly till in northern portion,1
