Metadata Id,Title,Responsible Name,Responsible Email,Reference Date,Language,Scale,Lineage,Citation Text,Disclaimer,Original Metadata ID
756,Protected Areas of the United States: Global Marine Protected Areas Database (MPA Global),"IUCN Global Marine Programme and UNEP and IUCN, dataset hosted and managed by UNEP World Conservation Monitoring Centre (UNEP-WCMC)",Not Reported,01/Oct/2013,English,0,"The MPA Global project was an extensive review of Marine Protected Areas, undertaken through the Sea Around Us Project and the Uni. of British Columbia with the support of WWF and UNEP-WCMC. It has been continually integrated into the WDPA since 2003.",,,808
2297,"Pre-release Protected Areas Database of the United States (PADUS), version 1.3. Marine Protected Areas.","US Geological Survey, Gap Analysis Program (GAP), National Operations Office, University of Idaho",lduarte@uidaho.edu,01/Jan/2011,English,0,"GIS data for all sites were collected from authoritative sources. Data were either downloaded from public websites, requested directly from MPA managers or digitized based on legal definitions (eg US Code of Federal Regulations).","US Geological Survey, Gap Analysis Program (GAP).  January 2012.  Pre-release Protected Areas Database of the United States (PADUS), version 1.3 Marine Protected Areas.  National Operations Office, University of Idaho.",,1224
1949,Ramsar Wetlands of International Importance,Ramsar Secretariat,protectedareas@unep-wcmc.org,01/Jan/2011,English,0,"Information based on Ramsar List, September 2011, on Ramsar website, and Ramsar Sites Database hosted by Wetlands International",,,947
788,Protected Areas Database of the United States of America (PADUS) version 1.1,US Geological Survey (USGS) National Biological Information Infrastructure (NBII) Gap Analysis Program (GAP),"lduarte@uidaho.edu
lduarte@uidaho.edu",01/Jan/2010,English,100000,"The Protected Areas Database of the United States (PAD-US) is a geodatabase that illustrates and describes public land ownership, management and conservation lands nationally, including voluntarily provided privately protected areas",,,847
1720,Protect Planet Ocean Reconciliation,UNEP-WCMC and IUCN,protectedareas@unep-wcmc.org,01/Jan/2010,English,0,"Where the WDPA had obtained updates for countries more recent that PPO, those sites were not updated. 14787 attributes were updated for polygons, 378 for points, 75 new points were added and 8 new polygons.",,,878
2454,UNESCO-MAB Biosphere Reserve,"Bureau of the International Co-ordinating Council of the MAB Programme (MAB-ICC) (18th Sesssion), UNESCO HQ Paris",Not Reported,01/Jan/2004,English,0,25-29 October 2004,,,1251
1860,Canadian Areas Tracking and Reporting System (CARTS) Protected Areas Dataset,Canadian Council on Ecological Areas,Not Reported,01/Jan/2010,English,0,Collated from Provincial and Federal Authorities throughout Canada by the CCEA.,,,895
500,Offical Protected Areas of Quebec,"Ministère de l'Environnement du Québec, Canada",Not Reported,01/Jan/2003,English,0,"Ministère de l'Environnement du Québec  (Environment Quebec),  http://www.menv.gouv.qc.ca/biodiversite/aires_protegees/,  UN List 2003 update June 2003",,,501
2632,Protected Areas Canada,"Gouvernement du Quebec, Canada",Not Reported,01/Jan/2005,English,0,Available at http://www2.publicationsdu.gouv.qc.ca/dynamicSearch/telecharge.php?type=2&file=/C_61 _1/C61_1_A.html,An Act Respecting the Conservation and Development of Wildlife 2005. (Québec). Regulations and Statutes of Quebec C-61.1,,1171
309,Protected areas in Quebec,WWF Canada,Not Reported,01/Jan/1995,English,2000000,Not Reported,,,309
