mggid	ship	cruise	sample	device_code	device	year	month	day	time	latdeg	latmin	latminhun	ns	londeg	lonmin	lonminhun	lonew	latlon_orig	lat	lon	water_depth	core_length	device2	comments
20995002	Northwind	NW262	023	400	core, gravity undiff.	1962	09	12		63	00	00	N	177	00	00	W	m	63	-177	93	61			
20995002	Northwind	NW262	026	501	core, piston, kullenberg	1962	09	12		63	00	00	N	176	00	00	W	m	63	-176	85	92			
20995002	Northwind	NW262	035	101	grab, orange peel	1962	09	13		62	00	00	N	174	00	00	W	m	62	-174	0	0			
20995002	Northwind	NW262	013	100	grab, undifferentiated	1962	09	10		63	31	00	N	179	59	00	W	m	63.5167	-179.9833	43				
41995001	Multiple	RU529OCS	37SL_A	100	grab, undifferentiated	1977	08	14		70	32	20	N	149	30	70	W	m	70.5367	-149.5117	2		GRAB SAMPLE		
41995001	Multiple	RU529OCS	21SL_B	100	grab, undifferentiated	1977	08	07		70	31	80	N	149	46	90	W	m	70.53	-149.7817	2		GRAB SAMPLE		
06995003	Sea Sounder	S276WG	26	103	grab, van veen	1976	06	29	1032	59	08	10	N	152	22	10	W	m	59.135	-152.3683	119		VAN VEEN GRAB		
06995003	Sea Sounder	S276WG	18	103	grab, van veen	1976	06	28	1613	59	12	15	N	152	44	80	W	m	59.2025	-152.7467	120		VAN VEEN GRAB		
06995003	Sea Sounder	S276WG	12	103	grab, van veen	1976	06	27	2054	59	34	60	N	152	36	10	W	m	59.5767	-152.6017	67		VAN VEEN GRAB		
20995002	Northwind	NW063	015	401	core, gravity, phleger	1963	08	09		67	40	00	N	169	50	00	W	m	67.6667	-169.8333	49	60			
20995002	Northwind	NW063	003	101	grab, orange peel	1963	08	07		65	26	00	N	168	53	00	W	m	65.4333	-168.8833	55				
06245001	Townsend Cromwell	JPO 212	12	300	core, box	1975	05	28	1120	59	55	00	N	147	21	90	W	m	59.9167	-147.365	88		BOX CORE		
06245001	Townsend Cromwell	JPO 212	126	100	grab, undifferentiated	1975	06	1	1127	60	01	80	N	144	48	69	W	m	60.03	-144.8115	210		GRAB SAMPLE		
20995002	Multiple	ANC69	064	101	grab, orange peel	1960	08	04		70	29	00	N	167	51	80	W	m	70.4833	-167.8633	48	0			
20995002	Multiple	ANC69	039	101	grab, orange peel	1962	07	29		69	48	10	N	166	43	10	W	m	69.8017	-166.7183	48				
20995002	Multiple	ANC69	043	101	grab, orange peel	1962	07	29		69	18	60	N	166	44	50	W	m	69.31	-166.7417	41				
20995002	Multiple	ANC69	045	101	grab, orange peel	1962	07	29		69	01	20	N	166	44	80	W	m	69.02	-166.7467	43				
20995002	Multiple	ANC69	029	101	grab, orange peel	1962	07	28		69	50	80	N	167	01	10	W	m	69.8467	-167.0183	48	0			
20995002	Thomas G. Thompson	TT042	049_111	100	grab, undifferentiated	1969	08	27		62	03	70	N	172	49	70	W	m	62.0617	-172.8283	57				
20995002	Thomas G. Thompson	TT042	040_092	400	core, gravity undiff.	1969	08	26		62	39	80	N	175	38	70	W	m	62.6633	-175.645	84	20			
20995002	Thomas G. Thompson	TT042	045_102	100	grab, undifferentiated	1969	08	26		62	30	10	N	174	46	90	W	m	62.5017	-174.7817	75				
20995002	Multiple	ANC68	192	100	grab, undifferentiated	1968	07	31		64	52	00	N	167	06	00	W	m	64.8667	-167.1	21				
20995002	Multiple	ANC69	113	100	grab, undifferentiated	1969	06	05		62	48	70	N	166	31	00	W	m	62.8117	-166.5167	24				
20995002	Multiple	ANC69	122	100	grab, undifferentiated	1969	06	05		64	22	50	N	165	44	80	W	m	64.375	-165.7467	27				
20995002	Thomas G. Thompson	TT020	071_214	500	core, piston undiff.	1967	08	22		68	52	00	N	170	49	00	W	m	68.8667	-170.8167	56	405			
20995002	Thomas G. Thompson	TT020	068_202	500	core, piston undiff.	1967	08	21		69	41	00	N	170	15	00	W	m	69.6833	-170.25	53	396			
20995002	Thomas G. Thompson	TT020	058_166	400	core, gravity undiff.	1967	08	20		69	19	00	N	167	39	00	W	m	69.3167	-167.65	50	85			
