Hs(m)/Tp(sec),0.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,11,27,50,62,64,57,49,41,34,28,23,0,0,0,0
1.5,0,0,0,26,62,112,141,143,129,110,91,76,63,52,43,36,30,23
2.0,0,0,0,66,109,199,219,225,205,195,162,135,112,93,77,64,54,41
2.5,0,0,7,93,171,279,342,351,320,274,230,210,174,145,120,100,84,65
3.0,0,0,91,180,246,402,424,417,369,343,331,275,229,208,173,144,120,93
3.5,0,0,86,211,326,484,577,568,502,421,394,330,312,260,216,196,164,140
4.0,0,105,216,326,394,632,616,583,585,494,454,374,361,339,283,236,197,153
4.5,0,94,233,371,467,735,744,738,634,626,520,473,390,382,319,299,250,208
5.0,0,259,364,469,539,750,750,750,750,644,641,531,482,399,394,330,308,274
5.5,0,428,497,566,612,750,750,750,750,750,635,642,532,482,400,399,341,322
6.0,0,597,630,663,684,750,750,750,750,750,750,616,633,525,476,396,386,329
6.5,0,750,750,750,750,750,750,750,750,750,750,723,592,617,513,458,430,384
7.0,0,750,750,750,750,750,750,750,750,750,750,750,692,566,560,500,474,425
7.5,0,750,750,750,750,750,750,750,750,750,750,750,748,610,607,542,518,467
8.0,0,750,750,750,750,750,750,750,750,750,750,750,750,630,653,584,562,509
8.5,0,750,750,750,750,750,750,750,750,750,750,750,750,650,699,626,606,551
9.0,0,750,750,750,750,750,750,750,750,750,750,750,750,670,746,668,650,592
9.5,0,750,750,750,750,750,750,750,750,750,750,750,750,691,750,710,694,662
10.0,0,750,750,750,750,750,750,750,750,750,750,750,750,711,750,750,738,734
