"ID","LAT","LONG","TYPE","LOCATION"
1,64.5003356933594,-165.408981323242,"GRID","Nome"
2,59.0442657470703,-158.458694458008,"GRID","Dillingham"
3,61.6297416687011,-149.820281982422,"GRID","Houston"
4,61.5808525085449,-149.441665649414,"GRID","Wasilla"
5,61.5991821289062,-149.114990234375,"GRID","Palmer"
6,61.2175064086914,-149.902496337891,"GRID","Anchorage"
7,60.5538673400879,-151.260559082031,"GRID","Kenai"
8,60.4872093200683,-151.060562133789,"GRID","Soldotna"
9,59.6418914794922,-151.550445556641,"GRID","Homer"
10,60.1036109924316,-149.444351196289,"GRID","Seward"
11,61.1303062438965,-146.350357055664,"GRID","Valdez"
12,60.5422401428223,-145.759490966797,"GRID","Cordova"
13,59.2355003356933,-135.446838378906,"GRID","Haines"
14,58.3016128540039,-134.421493530273,"GRID","Juneau"
15,57.0526962280274,-135.331771850586,"GRID","Sitka"
16,56.8121528625488,-132.957290649414,"GRID","Petersburg"
17,56.4704895019531,-132.378341674805,"GRID","Wrangell"
18,55.4739608764649,-133.133590698242,"GRID","Craig"
19,55.3418731689453,-131.64778137207,"GRID","Ketchikan"
20,48.993724822998,-122.747116088867,"GRID","Blaine"
21,48.9465065002441,-122.452102661133,"GRID","Lynden"
22,48.9201202392579,-122.342658996582,"GRID","Everson"
23,48.8465003967285,-122.591003417969,"GRID","Ferndale"
24,48.7595520019531,-122.488220214844,"GRID","Bellingham"
25,48.5342597961426,-123.017120361328,"GRID","Friday Harbor"
26,48.5126075744629,-122.612670898437,"GRID","Anacortes"
27,48.503719329834,-122.237373352051,"GRID","Sedro-Woolley"
28,48.475658416748,-122.32544708252,"GRID","Burlington"
29,48.4212188720703,-122.334045410156,"GRID","Mount Vernon"
30,47.9503593444824,-124.38549041748,"GRID","Forks"
31,48.2931518554687,-122.643218994141,"GRID","Oak Harbor"
32,48.1181411743164,-123.430740356445,"GRID","Port Angeles"
33,48.2198219299317,-122.686279296875,"GRID","Coupeville"
