"","x"
"1","Zero presences for 1 acanthephyra pelagica_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"2","Zero training presences for 1 acanthephyra pelagica_Atl in DFO_ScotianShelf"
"3","Zero presences for 2 achelous spinicarpus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"4","Zero training presences for 3 actinauge verrilli_Pac in AFSC_EBS, AFSC_WCTri"
"5","Zero presences for 4 acylopsetta quadrocellata_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"6","Zero presences for 5 aforia circinata_Pac in AFSC_WCTri, NWFSC_WCAnn so adding some as -23 (1e-10) to allow abundance model fitting"
"7","Zero training presences for 5 aforia circinata_Pac in AFSC_Aleutians"
"8","Zero presences for 6 albatrossia pectoralis_Pac in AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"9","Zero training presences for 6 albatrossia pectoralis_Pac in AFSC_WCTri"
"10","Zero presences for 7 alepocephalus bairdii_Atl in DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"11","Zero presences for 8 alepocephalus tenebrosus_Pac in AFSC_Aleutians, AFSC_EBS so adding some as -23 (1e-10) to allow abundance model fitting"
"12","Zero training presences for 8 alepocephalus tenebrosus_Pac in AFSC_GOA, AFSC_WCTri"
"13","Zero presences for 10 alosa aestivalis_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"14","Zero training presences for 10 alosa aestivalis_Atl in DFO_ScotianShelf"
"15","Zero presences for 11 alosa pseudoharengus_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"16","Zero presences for 12 alosa sapidissima_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_SoGulf, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"17","Zero presences for 13 alosa sapidissima_Pac in AFSC_Aleutians, AFSC_EBS, AFSC_GOA so adding some as -23 (1e-10) to allow abundance model fitting"
"18","Zero presences for 14 aluterus schoepfi_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf so adding some as -23 (1e-10) to allow abundance model fitting"
"19","Zero presences for 15 amblyraja radiata_Atl in SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"20","Zero presences for 16 ammodytes dubius_Atl in SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
"21","Zero presences for 18 amusium papyraceum_Atl in DFO_NewfoundlandFall, DFO_NewfoundlandSpring, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS so adding some as -23 (1e-10) to allow abundance model fitting"
"22","Zero presences for 19 anarhichas denticulatus_Atl in DFO_SoGulf, NEFSC_NEUS, SEFSC_GOMex so adding some as -23 (1e-10) to allow abundance model fitting"
